iteration,weight1,weight2,weight3,weight4,weight_bias,dw1,dw2,dw3,dw4,dw_bias,activation
87,0.432668,0.7546,0.680349,0.297103,0.486247,0.020829,0.0153954,0.00633927,0.00135842,0.00452805,0.998534
88,0.430585,0.75306,0.679715,0.296968,0.485794,0.0186645,0.0126919,0.00559935,0.00074658,0.0037329,0.998831
89,0.428719,0.751791,0.679156,0.296893,0.485421,0.0334093,0.0220198,0.0106302,0.0015186,0.00759302,0.997465
90,0.425378,0.749589,0.678093,0.296741,0.484661,0.0256027,0.0161976,0.00783755,0.000522504,0.00522504,0.998349
91,0.422817,0.747969,0.677309,0.296689,0.484139,0.0144851,0.009925,0.00402365,0.000536487,0.00268243,0.999212
92,0.421369,0.746977,0.676906,0.296635,0.483871,0.0195862,0.0138736,0.00652874,0.000816092,0.00408046,0.998742
93,0.41941,0.74559,0.676254,0.296554,0.483463,0.0314936,0.0196835,0.00918563,0.000656116,0.00656116,0.99793
94,0.416261,0.743621,0.675335,0.296488,0.482807,0.0432982,0.030208,0.0110763,0.00100693,0.0100693,0.996696
95,0.411931,0.7406,0.674227,0.296387,0.4818,0.0142012,0.00979391,0.00293817,0.000489695,0.00244848,0.99933
96,0.410511,0.739621,0.673934,0.296338,0.481555,0.0084478,0.00652111,0.0022231,0.000592828,0.00148207,0.999605
97,0.409666,0.738969,0.673711,0.296279,0.481407,0.0150771,0.010889,0.00362968,0.00111682,0.00279206,0.99922
98,0.408159,0.73788,0.673348,0.296167,0.481127,0.0210535,0.0144485,0.00577938,0.00123844,0.00412813,0.998804
99,0.406053,0.736435,0.67277,0.296043,0.480715,0.0123286,0.00821906,0.00367695,0.000648874,0.00216291,0.999419
100,0.40482,0.735613,0.672403,0.295979,0.480498,0.016241,0.0121011,0.00477676,0.000955351,0.0031845,0.999106
101,0.403196,0.734403,0.671925,0.295883,0.48018,0.0186573,0.0117472,0.00587359,0.000691011,0.00345505,0.999041
102,0.401331,0.733228,0.671338,0.295814,0.479834,0.0174631,0.0126693,0.00513619,0.00136965,0.00342413,0.999046
103,0.399584,0.731961,0.670824,0.295677,0.479492,0.0310054,0.0242651,0.00674031,0.00134806,0.00674031,0.998014
104,0.396484,0.729535,0.67015,0.295542,0.478818,0.0206694,0.0133743,0.00688982,0.00202642,0.00405283,0.998871
105,0.394417,0.728198,0.669461,0.29534,0.478413,0.0197821,0.0140123,0.0078304,0.000824253,0.00412127,0.998845
106,0.392439,0.726796,0.668678,0.295257,0.478,0.0315409,0.0189245,0.0100931,0.00126164,0.00630818,0.998211
107,0.389284,0.724904,0.667669,0.295131,0.47737,0.0228434,0.0155335,0.00730988,0.00182747,0.00456867,0.998752
108,0.387,0.72335,0.666938,0.294948,0.476913,0.0236242,0.0159009,0.00681467,0.000908623,0.00454311,0.998791
109,0.384638,0.72176,0.666256,0.294857,0.476458,0.0276395,0.018072,0.0074414,0.00106306,0.00531528,0.998584
110,0.381874,0.719953,0.665512,0.294751,0.475927,0.0311893,0.0212352,0.0106176,0.0013272,0.00663602,0.998162
111,0.378755,0.71783,0.66445,0.294618,0.475263,0.0337265,0.0217817,0.0112422,0.00140527,0.00702635,0.998078
112,0.375382,0.715652,0.663326,0.294478,0.474561,0.0253455,0.0159583,0.00704041,0.00187744,0.0046936,0.998819
113,0.372848,0.714056,0.662622,0.29429,0.474091,0.0178233,0.014053,0.00514135,0.000342756,0.00342756,0.999169
114,0.371065,0.71265,0.662108,0.294256,0.473749,0.0165697,0.0126532,0.00421773,0.000602533,0.00301266,0.999297
115,0.369408,0.711385,0.661686,0.294196,0.473447,0.0391438,0.0247645,0.0119828,0.000798854,0.00798854,0.997897
116,0.365494,0.708909,0.660488,0.294116,0.472648,0.0436872,0.0279598,0.0104849,0.00174749,0.00873743,0.997743
117,0.361125,0.706113,0.659439,0.293941,0.471775,0.0315498,0.0200771,0.00745722,0.00114726,0.00573632,0.998648
118,0.35797,0.704105,0.658694,0.293826,0.471201,0.0425872,0.0269429,0.0130369,0.000869126,0.00869126,0.997804
119,0.353712,0.701411,0.65739,0.293739,0.470332,0.0556444,0.0379393,0.0164404,0.00252929,0.0126464,0.996633
120,0.348147,0.697617,0.655746,0.293486,0.469067,0.0351938,0.0234626,0.0103511,0.00138015,0.00690075,0.998393
121,0.344628,0.69527,0.654711,0.293348,0.468377,-5.83022e-08,-3.05392e-08,-5.55259e-08,-2.31358e-08,-9.25432e-09,0.999976
122,0.344628,0.69527,0.654711,0.293348,0.468377,-8.0578e-07,-3.75104e-07,-7.08531e-07,-2.63962e-07,-1.38928e-07,0.999897
123,0.344628,0.69527,0.654711,0.293348,0.468377,-8.2809e-08,-3.49897e-08,-6.88131e-08,-2.44928e-08,-1.16632e-08,0.999975
124,0.344628,0.69527,0.654711,0.293348,0.468377,-2.58807e-07,-1.19134e-07,-2.30051e-07,-7.3945e-08,-4.10805e-08,0.999948
125,0.344628,0.695271,0.654711,0.293348,0.468377,-1.23224e-07,-5.68727e-08,-1.09954e-07,-4.17067e-08,-1.89576e-08,0.999966
126,0.344628,0.695271,0.654711,0.293348,0.468377,-2.51152e-08,-9.91389e-09,-2.18106e-08,-6.93972e-09,-3.30463e-09,0.999988
127,0.344628,0.695271,0.654711,0.293348,0.468377,-4.11939e-06,-2.10173e-06,-3.78311e-06,-1.42918e-06,-8.40692e-07,0.999713
128,0.344628,0.695271,0.654711,0.293348,0.468377,-6.02066e-08,-2.39177e-08,-5.19591e-08,-1.48455e-08,-8.24748e-09,0.999979
129,0.344628,0.695271,0.654711,0.293348,0.468377,-2.80411e-07,-1.04631e-07,-2.42743e-07,-7.53342e-08,-4.18523e-08,0.999948
130,0.344628,0.695271,0.654711,0.293349,0.468377,-2.0714e-08,-1.0357e-08,-1.75494e-08,-7.19236e-09,-2.87694e-09,0.999988
131,0.344628,0.695271,0.654711,0.293349,0.468377,-2.62351e-07,-1.29158e-07,-2.05845e-07,-8.07235e-08,-4.03618e-08,0.99995
132,0.344628,0.695271,0.654711,0.293349,0.468377,-4.52607e-07,-1.90944e-07,-3.74815e-07,-1.34368e-07,-7.07198e-08,0.999931
133,0.344628,0.695271,0.654711,0.293349,0.468377,-1.64645e-07,-7.26376e-08,-1.33169e-07,-5.08463e-08,-2.42125e-08,0.999962
134,0.344628,0.695271,0.654711,0.293349,0.468377,-1.20414e-06,-5.28133e-07,-1.05627e-06,-4.22507e-07,-2.11253e-07,0.999869
135,0.344628,0.695271,0.654711,0.293349,0.468377,-5.22979e-07,-2.52473e-07,-4.59861e-07,-2.16405e-07,-9.01689e-08,0.999917
136,0.344629,0.695271,0.654711,0.293349,0.468377,-1.78623e-07,-8.93115e-08,-1.47922e-07,-6.41927e-08,-2.79099e-08,0.999958
137,0.344629,0.695271,0.654711,0.293349,0.468377,-2.30761e-07,-1.06505e-07,-1.95259e-07,-6.39031e-08,-3.55017e-08,0.999953
138,0.344629,0.695271,0.654712,0.293349,0.468377,-6.45988e-09,-3.18799e-09,-5.62093e-09,-1.84568e-09,-8.38945e-10,0.999994
139,0.344629,0.695271,0.654712,0.293349,0.468377,-2.48696e-08,-8.39753e-09,-2.22858e-08,-7.42859e-09,-3.22982e-09,0.999988
140,0.344629,0.695271,0.654712,0.293349,0.468377,-2.09701e-06,-7.68903e-07,-1.74751e-06,-5.24252e-07,-3.49501e-07,0.999833
141,0.344629,0.695271,0.654712,0.293349,0.468377,-8.08198e-08,-3.74816e-08,-6.67641e-08,-2.69399e-08,-1.1713e-08,0.999974
142,0.344629,0.695271,0.654712,0.293349,0.468377,-9.52053e-07,-4.76026e-07,-8.33046e-07,-3.40019e-07,-1.70009e-07,0.999883
143,0.344629,0.695271,0.654712,0.293349,0.468377,-2.91779e-08,-1.06102e-08,-2.53886e-08,-7.57868e-09,-3.78934e-09,0.999987
144,0.344629,0.695271,0.654712,0.293349,0.468377,-8.54407e-07,-3.66175e-07,-6.64539e-07,-2.44116e-07,-1.3562e-07,0.999902
145,0.344629,0.695271,0.654712,0.293349,0.468377,-8.81399e-08,-4.34122e-08,-7.49847e-08,-2.76259e-08,-1.31552e-08,0.999973
146,0.344629,0.695271,0.654712,0.293349,0.468377,-6.2088e-08,-2.75947e-08,-5.174e-08,-1.5522e-08,-8.62333e-09,0.999979
147,0.344629,0.695271,0.654712,0.293349,0.468377,-8.93544e-07,-4.03536e-07,-6.91776e-07,-2.59416e-07,-1.4412e-07,0.999899
148,0.344629,0.695271,0.654712,0.293349,0.468377,-6.25739e-07,-3.07741e-07,-5.02643e-07,-1.84644e-07,-1.0258e-07,0.999915
149,0.344629,0.695271,0.654712,0.293349,0.468377,-2.36498e-07,-1.03468e-07,-2.06935e-07,-7.76007e-08,-3.69527e-08,0.999951
150,0.344629,0.695271,0.654712,0.293349,0.468377,-1.19798e-07,-4.99156e-08,-9.65036e-08,-2.66217e-08,-1.66385e-08,0.99997
151,0.344629,0.695271,0.654712,0.293349,0.468377,-8.02121e-08,-3.03505e-08,-6.61208e-08,-2.0595e-08,-1.08395e-08,0.999976
152,0.344629,0.695271,0.654712,0.293349,0.468377,-9.61703e-09,-4.62591e-09,-7.79101e-09,-2.43469e-09,-1.21735e-09,0.999993
153,0.344629,0.695271,0.654712,0.293349,0.468377,-2.23024e-07,-9.75729e-08,-1.95146e-07,-7.66644e-08,-3.48475e-08,0.999952
154,0.344629,0.695271,0.654712,0.293349,0.468377,-6.82357e-07,-3.0327e-07,-5.52385e-07,-1.62466e-07,-1.08311e-07,0.999914
155,0.344629,0.695271,0.654712,0.293349,0.468377,-5.51846e-07,-2.35213e-07,-5.06613e-07,-1.26653e-07,-9.04666e-08,0.999919
156,0.344629,0.695271,0.654712,0.293349,0.468378,-4.06465e-08,-1.58363e-08,-3.22005e-08,-1.21412e-08,-5.27876e-09,0.999984
157,0.344629,0.695271,0.654712,0.293349,0.468378,-9.08245e-08,-4.90164e-08,-8.07328e-08,-3.45998e-08,-1.44166e-08,0.99997
158,0.344629,0.695271,0.654712,0.293349,0.468378,-2.11821e-07,-1.02601e-07,-1.82034e-07,-5.95748e-08,-3.30971e-08,0.999954
159,0.344629,0.695271,0.654712,0.293349,0.468378,-7.51592e-07,-3.75796e-07,-6.01274e-07,-2.25478e-07,-1.25265e-07,0.999905
160,0.344629,0.695271,0.654712,0.293349,0.468378,-1.54677e-07,-6.94924e-08,-1.21051e-07,-4.70755e-08,-2.24169e-08,0.999964
161,0.344629,0.695271,0.654712,0.293349,0.468378,0.0360441,0.0247361,0.00989445,0.00141349,0.00706747,0.998385
162,0.341025,0.692798,0.653723,0.293208,0.467671,0.0536533,0.032849,0.0153295,0.00218993,0.0109497,0.997372
163,0.33566,0.689513,0.65219,0.292989,0.466576,0.0532063,0.0362256,0.0147166,0.0022641,0.0113205,0.997312
164,0.330339,0.68589,0.650718,0.292762,0.465444,0.052649,0.0354808,0.0171681,0.00228909,0.0114454,0.997309
165,0.325074,0.682342,0.649001,0.292533,0.464299,0.0398473,0.0286901,0.0111572,0.00159389,0.00796946,0.998317
166,0.321089,0.679473,0.647886,0.292374,0.463502,0.0248948,0.0179796,0.00783726,0.00184406,0.00461015,0.999126
167,0.3186,0.677675,0.647102,0.292189,0.463041,0.0486468,0.0359563,0.0148055,0.00317262,0.0105754,0.997689
168,0.313735,0.67408,0.645621,0.291872,0.461984,0.0468421,0.0318527,0.0140526,0.00187369,0.00936843,0.998099
169,0.309051,0.670894,0.644216,0.291685,0.461047,0.0758951,0.0500218,0.0241485,0.00344978,0.0172489,0.996084
170,0.301462,0.665892,0.641801,0.29134,0.459322,0.0651868,0.0412406,0.0199551,0.00133034,0.0133034,0.997323
171,0.294943,0.661768,0.639806,0.291207,0.457992,0.0428669,0.0293717,0.0119075,0.00158766,0.00793831,0.998638
172,0.290656,0.658831,0.638615,0.291048,0.457198,0.053527,0.037915,0.0178423,0.00223029,0.0111515,0.997919
173,0.285304,0.655039,0.636831,0.290825,0.456083,0.0840454,0.0525284,0.0245132,0.00175095,0.0175095,0.996621
174,0.276899,0.649786,0.634379,0.29065,0.454332,0.109803,0.0766069,0.0280892,0.00255356,0.0255356,0.99476
175,0.265919,0.642126,0.631571,0.290395,0.451778,0.0527929,0.0364089,0.0109227,0.00182044,0.00910222,0.998757
176,0.260639,0.638485,0.630478,0.290212,0.450868,0.0339443,0.0262026,0.00893271,0.00238205,0.00595514,0.999252
177,0.257245,0.635865,0.629585,0.289974,0.450272,0.0555865,0.0401458,0.0133819,0.00411752,0.0102938,0.998581
